STATION,DATE,PRCP,TAVG,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
USW00094846,2017-03-07,0.24,55,1,,1,,,,,,
USW00094846,2017-03-08,0,46,,,,,,,,,
USW00094846,2017-03-09,0,39,,,,,,,,,
USW00094846,2017-03-10,0,32,,,,,,,,,
USW00094846,2017-03-11,0,24,,,,,,,,,
USW00094846,2017-03-12,0.05,26,1,,,,,,,,
USW00094846,2017-03-13,0.24,29,1,1,1,,,,1,,
USW00094846,2017-03-14,0.19,25,1,,,,,,1,1,
USW00094846,2017-03-15,0,24,,,,,,,,,
USW00094846,2017-03-16,0,29,,,,,,,1,,
USW00094846,2017-03-17,0.03,38,1,,,1,,,1,,
USW00094846,2017-03-18,0,42,,,,,,,,,
USW00094846,2017-03-19,0,41,,,,,,,,,
USW00094846,2017-03-20,0.13,49,1,,1,,,,1,,
USW00094846,2017-03-21,0,44,,,,,,,,,
USW00094846,2017-03-22,0,33,,,,,,,,,
USW00094846,2017-03-23,0.02,37,,,1,,,,,,
USW00094846,2017-03-24,0,58,,,1,,,,,,
USW00094846,2017-03-25,0.71,43,1,,,,,,,,
USW00094846,2017-03-26,0.3,51,1,,,,,,1,,
USW00094846,2017-03-27,0,50,1,1,,,,,1,,
USW00094846,2017-03-28,0,44,1,,,,,,,,
USW00094846,2017-03-29,0.11,41,1,,,,,,,,
USW00094846,2017-03-30,1.84,43,1,,1,,,,,,
USW00094846,2017-03-31,0.02,39,1,,,,,,,,
USW00094846,2017-04-01,0,45,,,,,,,,,
USW00094846,2017-04-02,0,50,,,,,,,,,
USW00094846,2017-04-03,0.19,50,1,,,,,,,,
USW00094846,2017-04-04,0.02,49,1,,,,,,1,,
USW00094846,2017-04-05,1.04,45,1,,,,,,,,
USW00094846,2017-04-06,0.29,43,1,,,,,,,,
USW00094846,2017-04-07,0,44,,,,,,,,,
USW00094846,2017-04-08,0,50,,,,,,,,,
USW00094846,2017-04-09,0,64,,,,,,,,,
USW00094846,2017-04-10,0.32,69,1,,1,,,,,,
USW00094846,2017-04-11,0,47,1,1,,,,,,,
USW00094846,2017-04-12,0,48,,,,,,,,,
USW00094846,2017-04-13,0.19,50,1,,,,,,,,
USW00094846,2017-04-14,0.06,54,1,,,,,,,,
USW00094846,2017-04-15,0.09,70,,,1,,,,,,
USW00094846,2017-04-16,0.59,68,1,,1,,,,,,
USW00094846,2017-04-17,0,59,,,,,,,,,
USW00094846,2017-04-18,0,55,,,,,,,,,
USW00094846,2017-04-19,0.01,65,1,,1,,,,,,
USW00094846,2017-04-20,0,56,,,,,,,,,
USW00094846,2017-04-21,0,50,,,,,,,,,
USW00094846,2017-04-22,0,50,,,,,,,,,
USW00094846,2017-04-23,0,54,,,,,,,,,
USW00094846,2017-04-24,0,55,,,,,,,,,
USW00094846,2017-04-25,0,64,,,,,,,,,
USW00094846,2017-04-26,0.22,69,1,,,,,,,,
USW00094846,2017-04-27,0.14,54,1,,,,,,,,
USW00094846,2017-04-28,0,48,,,,,,,,,
USW00094846,2017-04-29,1.95,45,1,,1,,,,,,
USW00094846,2017-04-30,1.32,44,1,,1,,,,,,
USW00094846,2017-05-01,0.09,50,1,,,,,,,,
USW00094846,2017-05-02,0.01,46,1,,,,,,,,
USW00094846,2017-05-03,0,48,,,,,,,,,
USW00094846,2017-05-04,0,49,,,,,,,,,
USW00094846,2017-05-05,0,49,,,,,,,,,
USW00094846,2017-05-06,0.11,51,,,,,,,,,
USW00094846,2017-05-07,0,48,,,,,,,,,
USW00094846,2017-05-08,0.02,46,,,,,,,1,,
USW00094846,2017-05-09,0.13,48,,,,,,,,,
USW00094846,2017-05-10,0.87,55,1,,1,,,,,,
USW00094846,2017-05-11,0,55,1,,,,,,,,
